Choice_ID,IDX,block,mode,choice,gender,age,undergrad,r_type,PM_exp,access,IVT,Bus_cost,PM_cost,DRT_cost,DRT_IVT_max,Bus_delay,DRT_delay
1,1,2,Bus,4,1,30,2,1,1,15,15,1200,0,0,0,4,0
2,1,2,Bus,1,1,30,2,1,1,5,10,1200,0,0,0,4,0
3,1,2,Bus,1,1,30,2,1,1,10,10,1200,0,0,0,4,0
4,1,2,Bus,4,1,30,2,1,1,10,5,1200,0,0,0,4,0
5,1,2,Bus,4,1,30,2,1,1,15,10,1200,0,0,0,4,0
6,1,2,Bus,1,1,30,2,1,1,5,15,1200,0,0,0,4,0
7,2,3,Bus,1,1,22,1,2,2,15,5,1200,0,0,0,4,0
8,2,3,Bus,4,1,22,1,2,2,5,15,1200,0,0,0,4,0
9,2,3,Bus,1,1,22,1,2,2,5,5,1200,0,0,0,4,0
10,2,3,Bus,4,1,22,1,2,2,10,10,1200,0,0,0,4,0
11,2,3,Bus,4,1,22,1,2,2,15,10,1200,0,0,0,4,0
12,2,3,Bus,4,1,22,1,2,2,10,15,1200,0,0,0,4,0
13,3,3,Bus,4,2,21,1,2,1,15,5,1200,0,0,0,4,0
14,3,3,Bus,4,2,21,1,2,1,5,15,1200,0,0,0,4,0
15,3,3,Bus,4,2,21,1,2,1,5,5,1200,0,0,0,4,0
16,3,3,Bus,4,2,21,1,2,1,10,10,1200,0,0,0,4,0
17,3,3,Bus,4,2,21,1,2,1,15,10,1200,0,0,0,4,0
18,3,3,Bus,3,2,21,1,2,1,10,15,1200,0,0,0,4,0
19,4,2,Bus,4,2,22,1,1,1,15,15,1200,0,0,0,4,0
20,4,2,Bus,4,2,22,1,1,1,5,10,1200,0,0,0,4,0
21,4,2,Bus,4,2,22,1,1,1,10,10,1200,0,0,0,4,0
22,4,2,Bus,4,2,22,1,1,1,10,5,1200,0,0,0,4,0
23,4,2,Bus,4,2,22,1,1,1,15,10,1200,0,0,0,4,0
24,4,2,Bus,4,2,22,1,1,1,5,15,1200,0,0,0,4,0
25,5,3,Bus,4,2,22,1,1,1,15,5,1200,0,0,0,4,0
