IDX,gender,age,undergrad,r_type,PM_exp,block,choice,Bus_c,Bus_IVT,Bus_OVT_a,Bus_OVT_d1,Bus_OVT_d2,PM_c,PM_IVT,PM_OVT_a,Walk_IVT,DRT_c,DRT_IVT1,DRT_IVT2,DRT_OVT_a,DRT_OVT_d1,DRT_OVT_d2
1,1,30,2,1,1,2,4,1200,15,15,1,7,2250,11,6,45,800,10,15,3,2,15
1,1,30,2,1,1,2,1,1200,10,5,1,7,1800,8,6,35,400,15,20,3,2,15
1,1,30,2,1,1,2,1,1200,10,10,1,7,2250,11,3,45,600,15,20,3,2,15
1,1,30,2,1,1,2,4,1200,5,10,1,7,2700,14,6,25,600,5,10,3,2,15
1,1,30,2,1,1,2,4,1200,10,15,1,7,2250,11,0,25,400,5,10,3,2,15
1,1,30,2,1,1,2,1,1200,15,5,1,7,2700,14,3,25,400,10,15,3,2,15
2,1,22,1,2,2,3,1,1200,5,15,1,7,2700,14,3,45,400,15,20,3,2,15
2,1,22,1,2,2,3,4,1200,15,5,1,7,2250,11,3,35,600,5,10,3,2,15
2,1,22,1,2,2,3,1,1200,5,5,1,7,1800,8,0,45,600,10,15,3,2,15
2,1,22,1,2,2,3,4,1200,10,10,1,7,1800,8,3,25,800,10,15,3,2,15
2,1,22,1,2,2,3,4,1200,10,15,1,7,2700,14,6,35,600,10,15,3,2,15
2,1,22,1,2,2,3,4,1200,15,10,1,7,2700,14,0,35,800,15,20,3,2,15
3,2,21,1,2,1,3,4,1200,5,15,1,7,2700,14,3,45,400,15,20,3,2,15
3,2,21,1,2,1,3,4,1200,15,5,1,7,2250,11,3,35,600,5,10,3,2,15
3,2,21,1,2,1,3,4,1200,5,5,1,7,1800,8,0,45,600,10,15,3,2,15
3,2,21,1,2,1,3,4,1200,10,10,1,7,1800,8,3,25,800,10,15,3,2,15
3,2,21,1,2,1,3,4,1200,10,15,1,7,2700,14,6,35,600,10,15,3,2,15
3,2,21,1,2,1,3,3,1200,15,10,1,7,2700,14,0,35,800,15,20,3,2,15
4,2,22,1,1,1,2,4,1200,15,15,1,7,2250,11,6,45,800,10,15,3,2,15
4,2,22,1,1,1,2,4,1200,10,5,1,7,1800,8,6,35,400,15,20,3,2,15
4,2,22,1,1,1,2,4,1200,10,10,1,7,2250,11,3,45,600,15,20,3,2,15
4,2,22,1,1,1,2,4,1200,5,10,1,7,2700,14,6,25,600,5,10,3,2,15
4,2,22,1,1,1,2,4,1200,10,15,1,7,2250,11,0,25,400,5,10,3,2,15
4,2,22,1,1,1,2,4,1200,15,5,1,7,2700,14,3,25,400,10,15,3,2,15
5,2,22,1,1,1,3,4,1200,5,15,1,7,2700,14,3,45,400,15,20,3,2,15
5,2,22,1,1,1,3,4,1200,15,5,1,7,2250,11,3,35,600,5,10,3,2,15
5,2,22,1,1,1,3,4,1200,5,5,1,7,1800,8,0,45,600,10,15,3,2,15
5,2,22,1,1,1,3,4,1200,10,10,1,7,1800,8,3,25,800,10,15,3,2,15
5,2,22,1,1,1,3,4,1200,10,15,1,7,2700,14,6,35,600,10,15,3,2,15
5,2,22,1,1,1,3,4,1200,15,10,1,7,2700,14,0,35,800,15,20,3,2,15
6,1,22,1,2,1,3,4,1200,5,15,1,7,2700,14,3,45,400,15,20,3,2,15
6,1,22,1,2,1,3,4,1200,15,5,1,7,2250,11,3,35,600,5,10,3,2,15
6,1,22,1,2,1,3,1,1200,5,5,1,7,1800,8,0,45,600,10,15,3,2,15
6,1,22,1,2,1,3,4,1200,10,10,1,7,1800,8,3,25,800,10,15,3,2,15
6,1,22,1,2,1,3,4,1200,10,15,1,7,2700,14,6,35,600,10,15,3,2,15
6,1,22,1,2,1,3,4,1200,15,10,1,7,2700,14,0,35,800,15,20,3,2,15
7,1,22,1,1,1,3,4,1200,5,15,1,7,2700,14,3,45,400,15,20,3,2,15
7,1,22,1,1,1,3,4,1200,15,5,1,7,2250,11,3,35,600,5,10,3,2,15
7,1,22,1,1,1,3,1,1200,5,5,1,7,1800,8,0,45,600,10,15,3,2,15
7,1,22,1,1,1,3,4,1200,10,10,1,7,1800,8,3,25,800,10,15,3,2,15
7,1,22,1,1,1,3,4,1200,10,15,1,7,2700,14,6,35,600,10,15,3,2,15
7,1,22,1,1,1,3,4,1200,15,10,1,7,2700,14,0,35,800,15,20,3,2,15
8,1,22,1,1,1,2,4,1200,15,15,1,7,2250,11,6,45,800,10,15,3,2,15
8,1,22,1,1,1,2,4,1200,10,5,1,7,1800,8,6,35,400,15,20,3,2,15
8,1,22,1,1,1,2,2,1200,10,10,1,7,2250,11,3,45,600,15,20,3,2,15
8,1,22,1,1,1,2,4,1200,5,10,1,7,2700,14,6,25,600,5,10,3,2,15
8,1,22,1,1,1,2,4,1200,10,15,1,7,2250,11,0,25,400,5,10,3,2,15
8,1,22,1,1,1,2,4,1200,15,5,1,7,2700,14,3,25,400,10,15,3,2,15
9,2,25,1,1,1,2,4,1200,15,15,1,7,2250,11,6,45,800,10,15,3,2,15
9,2,25,1,1,1,2,4,1200,10,5,1,7,1800,8,6,35,400,15,20,3,2,15
